ingredient_name,alias_name,source,notes
Yellow mung dal,moong dal,manual,Common transliteration variant
Asafoetida (hing),asafoetida,manual,Parenthetical variant
Kasuri methi,dried fenugreek leaves,manual,Common English equivalent
Gobindobhog Rice,govindbhog rice,manual,Common spelling variant
Split urad dal,urad dal split,manual,Common descriptive variant
Split white urad dal,white urad dal split,manual,Common descriptive variant
Thick poha,thick flattened rice,manual,Common English equivalent
Roasted daliya (roasted bengal gram),roasted bengal gram,manual,Parenthetical simplification
Cumin seeds,cumin seed,manual,Singular variant
Turmeric,turmeric powder,manual,Typical USDA wording
